Date/Time,C38130:Zone Outdoor Air Drybulb Temperature [C](TimeStep),OCCU,C38130:Zone Windows Total Transmitted Solar Radiation Energy [J](TimeStep),C38130:Daylighting Reference Point 1 Illuminance [lux](TimeStep),C38130:Zone Mean Air Temperature [C](TimeStep),C38130:Zone Air Heat Balance Surface Convection Rate [W](TimeStep),ZoneCO2,VAV_SYSTEM SUPPLY FAN OUTLET:System Node Temperature [C](TimeStep),VAV_SYSTEM SUPPLY FAN OUTLET:System Node Pressure [Pa](TimeStep),SupplyFlow,SupplyCO2
 07/30  01:05:00,18.10670833,0,0,0,21.02965309,237.1388954,420.0008162,12.80019493,99947.32479,1.57E-02,420.0008153
 07/30  01:10:00,18.11504167,0,0,0,21.02159348,236.5000937,420.0007197,12.80019417,99946.62997,1.57E-02,420.0007189
 07/30  01:15:00,18.123375,0,0,0,21.01346985,235.9095466,420.0006346,12.80019323,99945.93514,1.57E-02,420.0006339
 07/30  01:20:00,18.13170833,0,0,0,21.00543589,235.3363699,420.0005596,12.80019248,99945.24032,1.57E-02,420.000559
 07/30  01:25:00,18.14004167,0,0,0,20.9975468,234.7664642,420.0004934,12.800192,99944.5455,1.57E-02,420.0004929
 07/30  01:30:00,18.148375,0,0,0,20.98979746,234.1983735,420.0004351,12.80019226,99943.85067,1.57E-02,420.0004347
 07/30  01:35:00,18.15670833,0,0,0,20.98217012,233.6344012,420.0003837,12.80019215,99943.15585,1.57E-02,420.0003833
 07/30  01:40:00,18.16504167,0,0,0,20.97465475,233.0759368,420.0003384,12.80019214,99942.46102,1.57E-02,420.000338
 07/30  01:45:00,18.173375,0,0,0,20.96724867,232.5229078,420.0002984,12.80019221,99941.7662,1.57E-02,420.0002981
 07/30  01:50:00,18.18170833,0,0,0,20.95995108,231.9747065,420.0002631,12.80019235,99941.07138,1.57E-02,420.0002628
 07/30  01:55:00,18.19004167,0,0,0,20.95276014,231.4308785,420.000232,12.80019255,99940.37655,1.57E-02,420.0002318
